Experiment,Year,TestingDate,Species,Genotype,SpecimenID,PlotNumber,PlantNumber,PlantAge,TissueType,Operator,RootSampleNumber,Whorl.or.Internode_Number,Vertical.Specimen.Diameter,Horizontal.Specimen.Diameter,Specimen.Length,line_raw_slope_N.mm,raw_data_file,Notes
NSF-BMMB,2024,7/16/24,Maize,B73,1,355,1,57 dap,Stalk,Irene,,,19.2,22.75,300,19.488231,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/16/24,Maize,B73,2,355,2,57 dap,Stalk,Irene,,,17.34,20.49,300,15.438993,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/16/24,Maize,B73,3,355,3,57 dap,Stalk,Irene,,,18.03,20.65,300,17.055628,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/16/24,Maize,B73,4,355,4,57 dap,Stalk,Irene,,,18.75,22.43,300,17.654832,Week 8 Stalk Bending moduli_1.csv,node
NSF-BMMB,2024,7/16/24,Maize,B73,5,355,5,57 dap,Stalk,Irene,,,16.61,19.2,300,14.2367601,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/16/24,Maize,B73,6,355,6,57 dap,Stalk,Irene,,,17.11,21.04,300,9.294275,Week 8 Stalk Bending moduli_1.csv,node
NSF-BMMB,2024,7/16/24,Maize,B73,7,355,7,57 dap,Stalk,Irene,,,14.48,17.58,300,1.3040011,Week 8 Stalk Bending moduli_1.csv,node
NSF-BMMB,2024,7/16/24,Maize,B73,8,355,8,57 dap,Stalk,Irene,,,17.36,21.3,300,13.509128,Week 8 Stalk Bending moduli_1.csv,node
NSF-BMMB,2024,7/16/24,Maize,B73,9,355,9,57 dap,Stalk,Irene,,,17.2,20.1,300,17.34199,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/16/24,Maize,B73,10,355,10,57 dap,Stalk,Irene,,,16.88,20.57,300,14.400673,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/16/24,Maize,B73,11,355,11,57 dap,Stalk,Irene,,,18.89,22.98,300,19.749972,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/16/24,Maize,B73,12,355,12,57 dap,Stalk,Irene,,,20,23.54,300,21.796369,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/16/24,Maize,Mo17,13,438,1,57 dap,Stalk,Irene,,,15.52,19.49,300,13.0116099,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/16/24,Maize,Mo17,14,438,2,57 dap,Stalk,Irene,,,15.24,19.93,300,11.151954,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/16/24,Maize,Mo17,15,438,3,57 dap,Stalk,Irene,,,15.08,18.96,300,12.679135,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/16/24,Maize,Mo17,16,438,4,57 dap,Stalk,Irene,,,12.64,15.52,300,3.2374437,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/16/24,Maize,Mo17,17,438,5,57 dap,Stalk,Irene,,,14.79,19.14,300,11.67349,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/16/24,Maize,Mo17,18,438,6,57 dap,Stalk,Irene,,,15.26,20.22,300,14.9155091,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/16/24,Maize,Mo17,19,438,7,57 dap,Stalk,Irene,,,14.64,18.53,300,11.2060069,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/16/24,Maize,Mo17,20,438,8,57 dap,Stalk,Irene,,,16.78,20.4,300,16.5991081,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/16/24,Maize,Mo17,21,438,9,57 dap,Stalk,Irene,,,16.97,22.56,300,15.152678,Week 8 Stalk Bending moduli_1.csv,node
NSF-BMMB,2024,7/16/24,Maize,Mo17,22,438,10,57 dap,Stalk,Irene,,,13.26,16.25,300,5.3054147,Week 8 Stalk Bending moduli_1.csv,node
NSF-BMMB,2024,7/16/24,Maize,Mo17,23,438,11,57 dap,Stalk,Irene,,,10.68,15.38,300,0.2416679,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/17/24,Maize,Mo17,24,440,1,58 dap,Stalk,Irene,,,16.98,21.19,300,19.1496516,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/17/24,Maize,Mo17,25,440,2,58 dap,Stalk,Irene,,,16.48,20.86,300,16.5265269,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/17/24,Maize,Mo17,26,440,3,58 dap,Stalk,Irene,,,14.52,17.73,300,9.1843654,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/17/24,Maize,Mo17,27,440,4,58 dap,Stalk,Irene,,,15.53,20.03,300,15.1707888,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/17/24,Maize,Mo17,28,440,5,58 dap,Stalk,Irene,,,15.28,19.04,300,13.3866776,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/17/24,Maize,Mo17,29,440,6,58 dap,Stalk,Irene,,,16.77,20.78,300,11.7687393,Week 8 Stalk Bending moduli_1.csv,node
NSF-BMMB,2024,7/17/24,Maize,Mo17,30,440,7,58 dap,Stalk,Irene,,,15.64,20.45,300,15.018074,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/17/24,Maize,Mo17,31,440,8,58 dap,Stalk,Irene,,,13.07,15.29,300,4.6965589,Week 8 Stalk Bending moduli_1.csv,node
NSF-BMMB,2024,7/17/24,Maize,Mo17,32,440,9,58 dap,Stalk,Irene,,,16.19,20.66,300,19.1101584,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/17/24,Maize,Mo17,33,440,10,58 dap,Stalk,Irene,,,15.11,19.7,300,13.780006,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/17/24,Maize,B73,34,353,1,58 dap,Stalk,Irene,,,20.1,24.35,300,26.0462975,Week 8 Stalk Bending moduli_1.csv,
NSF-BMMB,2024,7/17/24,Maize,B73,35,353,2,58 dap,Stalk,Irene,,,19.5,21.96,300,26.3927744,Week 8 Stalk Bending moduli_1.csv,
